StationName,StationCode,RegionName,Analyte,Trend,LastSampleDate,LastResult,Unit
San Lorenzo River at Highway 9,304SL9,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.1,ug/L
San Lorenzo Upstream Bear Creek,304SLE,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.09,ug/L
Zayante Creek at Graham Hill Road,304ZAY,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.095,ug/L
San Lorenzo River at Crossing Street,304RIV,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.05,ug/L
San Lorenzo River at Big Trees Road,304SLB,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.09,ug/L
Branciforte Creek at Water Street,304BRA,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.12,ug/L
Bear Creek at Elks Park,304BEP,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.13,ug/L
Boulder Creek at Highway 9,304BH9,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.13,ug/L
Arana Gulch at Harbor High School,304ARA,Central Coast,"Lead, Total",Insufficient data,11/28/2017,0.2,ug/L
Mark West Creek at Fulton Rd off Airport Blvd,114MW3972,North Coast,"Lead, Total",Insufficient data,11/16/2017,2.5,ug/L
Tuolumne River at Shiloh Fishing Access,535STC513,Central Valley,"Lead, Total",Insufficient data,11/20/2002,2.5,ug/L
San Joaquin River above Maze Boulevard,541STC510,Central Valley,"Lead, Total",Insufficient data,11/21/2002,2.5,ug/L
Stanislaus River at Caswell Park,535STC514,Central Valley,"Lead, Total",Insufficient data,11/20/2002,2.5,ug/L
SJR @ Patterson,541STC507,Central Valley,"Lead, Total",Insufficient data,11/21/2002,2.5,ug/L
N. Fork Mokelumne River @ Hwy 26,532AMA001,Central Valley,"Lead, Total",Insufficient data,6/26/2002,2.5,ug/L
Mokelumne River @ Van Assen Co. Park,531SJC512,Central Valley,"Lead, Total",Insufficient data,6/24/2002,2.5,ug/L
Mokelumne River @ Hwy 49,532CAL004,Central Valley,"Lead, Total",Insufficient data,7/22/2008,19.7,mg/Kg dw
Eel River - South Fork at Myers Flat,111SF0933,North Coast,"Lead, Total",Insufficient data,10/12/2015,5.47,mg/Kg dw
Smith River at Sarina Road,103SM1009,North Coast,"Lead, Total",Insufficient data,10/13/2015,6.02,mg/Kg dw
"Mammoth Cr, at Twin Lakes",603MAM008,Lahontan,"Lead, Total",Insufficient data,7/21/2005,0.03,ug/L
Pit River at Cassel-Fall River Road,526PRFALR,Central Valley,"Lead, Total",Insufficient data,8/9/2017,8.05,mg/Kg dw
Napa Creek at Jefferson St,206NAC100,San Francisco Bay,"Lead, Total",Insufficient data,8/7/2017,12.6,mg/Kg dw
Suscol Creek 250m US of Suscol Ferry Rd xing,206SUS010,San Francisco Bay,"Lead, Total",Insufficient data,8/7/2017,7.6,mg/Kg dw
Garcia River downstream of Rolling Brook Creek,113GAR061,North Coast,"Lead, Total",Insufficient data,6/19/2012,0.043,ug/L
Napa River at Trancas,206NAP030,San Francisco Bay,"Lead, Total",Insufficient data,7/17/2017,7.76,mg/Kg dw
Napa River  500m DS of Oakville Cross Rd,206NAP100,San Francisco Bay,"Lead, Total",Insufficient data,7/17/2017,6.27,mg/Kg dw
Cosumnes River @ Gold Beach Park,532ELD003,Central Valley,"Lead, Total",Insufficient data,6/25/2002,2.5,ug/L
Lagunitas Creek @ Coast Guard Station,201LAG125,San Francisco Bay,"Lead, Total",Insufficient data,6/28/2017,8.83,mg/Kg dw
Stevens Creek - 205STE025 directly upstream of pedestrian bridge at Whisman School Park,205STE025,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,11.1,mg/Kg dw
Cosumnes River @ Hwy 49,532ELD004,Central Valley,"Lead, Total",Insufficient data,6/25/2002,2.5,ug/L
Santa Ana River Random Olsen Site 312,801RB8312,Santa Ana,"Lead, Total",Insufficient data,6/27/2017,0.3,ug/L
Prado Flood Control Basin Random Olsen Site 019,801PFB019,Santa Ana,"Lead, Total",Insufficient data,6/27/2017,0.3,ug/L
Tuolumne R. @ Old LaGrange Bridge,535STC210,Central Valley,"Lead, Total",Insufficient data,8/16/2016,13.3,mg/Kg dw
Lost Lake Depressional Wetland Site 0001,801LL0001,Santa Ana,"Lead, Total",Insufficient data,6/25/2017,33.45,mg/Kg dw
Shady Canyon Depressional Wetland Site 0002,801SC0002,Santa Ana,"Lead, Total",Insufficient data,6/24/2017,12.4,mg/Kg dw
Santa Ana River Random Olsen Site 151,801SAR151,Santa Ana,"Lead, Total",Insufficient data,6/22/2017,0.2,ug/L
Santa Ana Restoration Site,801SAROCR,Santa Ana,"Lead, Total",Insufficient data,6/21/2017,0.4,ug/L
Santa Ana River Random Olsen Site 494,801RB8494,Santa Ana,"Lead, Total",Insufficient data,6/24/2013,0.3,ug/L
Tres Pinos Creek @ Southside Rd,305TRE,Central Coast,"Lead, Total",Insufficient data,3/9/2017,0.06,ug/L
Elkhorn Slough @ Kirby Park,306ELK,Central Coast,"Lead, Total",Insufficient data,8/23/2016,15.9,mg/Kg dw
Mill Creek above Redwood Creek,113GAR089,North Coast,"Lead, Total",Insufficient data,6/20/2011,0.015,ug/L
Channel Islands Harbor CI5,410CHN005,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,55.63,mg/Kg dw
Channel Islands Harbor CI4,410CHN004,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,11.853,mg/Kg dw
Ventura Harbor V4,407VNT004,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,22.477,mg/Kg dw
Ventura Marina 1,407VHVTR1,Los Angeles,"Lead, Total",Insufficient data,10/2/2006,11.27,ug/L
Ventura Marina 2,407VHVTR2,Los Angeles,"Lead, Total",Insufficient data,10/2/2006,16.9,mg/Kg dw
Ventura Marina 3,407VHVTR3,Los Angeles,"Lead, Total",Insufficient data,10/2/2006,17.1,mg/Kg dw
Ventura Harbor V5,407VNT005,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,20.78,mg/Kg dw
Channel Islands Harbor CI1,410CHN001,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,21.827,mg/Kg dw
Ventura Harbor V2,407VNT002,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,23.141,mg/Kg dw
Ventura Harbor V1,407VNT001,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,24.889,mg/Kg dw
Channel Islands Harbor CI2,410CHN002,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,17.797,mg/Kg dw
Channel Islands Harbor CI3,410CHN003,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,24.783,mg/Kg dw
Ventura Harbor V3,407VNT003,Los Angeles,"Lead, Total",Insufficient data,5/24/2017,23.899,mg/Kg dw
Los Angeles Harbor LA2,411LAH002,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,61.859,mg/Kg dw
Los Angeles Harbor LA4,411LAH004,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,56.466,mg/Kg dw
King Harbor KH5,404KNG005,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,91.496,mg/Kg dw
Los Angeles Harbor LA1,411LAH001,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,48.804,mg/Kg dw
Los Angeles Harbor LA3,411LAH003,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,83.32,mg/Kg dw
King Harbor KH2,404KNG002,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,28.147,mg/Kg dw
King Harbor KH3,404KNG003,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,49.867,mg/Kg dw
King Harbor KH4,404KNG004,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,71.224,mg/Kg dw
King Harbor KH1,404KNG001,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,12.537,mg/Kg dw
Long Beach Harbor LB5,411LBH005,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,157.795,mg/Kg dw
Los Angeles Harbor LA5,411LAH005,Los Angeles,"Lead, Total",Insufficient data,5/23/2017,84.654,mg/Kg dw
Alamitos Harbor A4,405ALM004,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,57.172,mg/Kg dw
Long Beach Harbor LB4,412LBH004,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,65.899,mg/Kg dw
Long Beach Harbor LB3,412LBH003,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,50.669,mg/Kg dw
Alamitos Harbor A5,405ALM005,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,54.5,mg/Kg dw
Long Beach Harbor LB2,412LBH002,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,166.398,mg/Kg dw
Alamitos Harbor A3,405ALM003,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,73.801,mg/Kg dw
Alamitos Harbor A2,405ALM002,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,41.823,mg/Kg dw
Alamitos Harbor A1,405ALM001,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,46.009,mg/Kg dw
Long Beach Harbor LB1,412LBH001,Los Angeles,"Lead, Total",Insufficient data,5/22/2017,173.704,mg/Kg dw
Llagas Creek at Leavesley Road,305LEA,Central Coast,"Lead, Total",Insufficient data,4/6/2017,0.11,ug/L
"310SSWWIN-Tributary to San Simeon Creek, downstream of Lower Cambria Mine",310SSWWIN,Central Coast,"Lead, Total",Insufficient data,4/28/2017,5.21,mg/Kg dw
San Simeon Creek at Boot Ranch second SSC Road bridge,310SSWBOT,Central Coast,"Lead, Total",Insufficient data,4/28/2017,5.64,mg/Kg dw
310SRWCRT- Curti Creek above Santa Rosa Creek Road,310SRWCRT,Central Coast,"Lead, Total",Insufficient data,4/28/2017,3.49,mg/Kg dw
Mark West Creek at Trenton Healdsburg Road,114MW0930_SWAMP,North Coast,"Lead, Total",Insufficient data,12/1/2011,0.067,ug/L
Wister Wildlife Refuge Cell W11A,723WUW11A,Colorado River,"Lead, Total",Insufficient data,10/26/2016,19.4,mg/Kg dw
Wister Wildlife Refuge Cell W12A,723WUW12A,Colorado River,"Lead, Total",Insufficient data,10/26/2016,15.5,mg/Kg dw
Salton Sea Drain S2 (Niland 4),723SSDS02,Colorado River,"Lead, Total",Insufficient data,10/26/2016,15.2,mg/Kg dw
Salton Sea Drain S1 (W Drain),728SSDS01,Colorado River,"Lead, Total",Insufficient data,10/26/2016,15.4,mg/Kg dw
Shank Rd. Wetland Cell1,723SHWLC1,Colorado River,"Lead, Total",Insufficient data,10/18/2016,10.845,mg/Kg dw
Brawley Wetland Cell1,723BRWLC1,Colorado River,"Lead, Total",Insufficient data,10/17/2016,9.96,ug/L
"Salt Creek, Slough (TSMP)",725SCSLGH,Colorado River,"Lead, Total",Insufficient data,10/17/2016,11,mg/Kg dw
Walker Creek-1.2km upstream of hwy 1 crossing,201WLK091,San Francisco Bay,"Lead, Total",Insufficient data,6/15/2016,4.75,mg/Kg dw
Russian River at Monte Rio Beach,114RR0898,North Coast,"Lead, Total",Insufficient data,12/1/2011,0.015,ug/L
Russian River at Vacation Beach,114RR1159,North Coast,"Lead, Total",Insufficient data,12/1/2011,0.015,ug/L
Lower Owens River near mouth,603LOWSED,Lahontan,"Lead, Total",Insufficient data,9/13/2016,11.6,mg/Kg dw
Santa Maria Estuary Lower near river mouth,312SME00L,Central Coast,"Lead, Total",Insufficient data,8/22/2016,3.547,mg/Kg dw
Los Osos Creek Estuary below South Bay Blvd and Elfin Forest,310MDELFF,Central Coast,"Lead, Total",Insufficient data,8/22/2016,9.68,mg/Kg dw
Santa Maria Estuary  upper,312SME00U,Central Coast,"Lead, Total",Insufficient data,8/22/2016,6.425,mg/Kg dw
Chorro Creek Estuary below tidal influence,310MBCCSB,Central Coast,"Lead, Total",Insufficient data,8/22/2016,3.92,mg/Kg dw
Carpinteria Marsh Franklin Creek Arm above foot bridge,315CRPFRC,Central Coast,"Lead, Total",Insufficient data,8/25/2016,15.1,mg/Kg dw
Goleta Slough Atascadero Arm Below Ward Drive,315GOLWRD,Central Coast,"Lead, Total",Insufficient data,8/25/2016,16.7,mg/Kg dw
Carpinteria Marsh North channel near Santa Clause Lane,315CRPNRR,Central Coast,"Lead, Total",Insufficient data,8/25/2016,22.2,mg/Kg dw
Goleta Slough Tecolotito Arm at Highway brigde,315GOLTEC,Central Coast,"Lead, Total",Insufficient data,8/25/2016,15.5,mg/Kg dw
Old Salinas River @ Potrero Rd,309POT,Central Coast,"Lead, Total",Insufficient data,8/24/2016,7.385,mg/Kg dw
Old Salinas River @ Sandholdt Bridge,306SAS,Central Coast,"Lead, Total",Insufficient data,8/24/2016,16.7,mg/Kg dw
"Pajaro River Estuary Lower, below confluence with Watsonville Slough",305PJE00L,Central Coast,"Lead, Total",Insufficient data,8/24/2016,7,mg/Kg dw
Pajaro River Estuary upper near Trafton Road,305PJE00U,Central Coast,"Lead, Total",Insufficient data,8/24/2016,9.7,mg/Kg dw
Salinas River Estuary Lower near Old Salinas River Flapgate,309SAL00L,Central Coast,"Lead, Total",Insufficient data,8/23/2016,4.328,mg/Kg dw
Salinas River Estuary  Upper near RR bridge,309SAL00U,Central Coast,"Lead, Total",Insufficient data,8/23/2016,5.18,mg/Kg dw
Elkhorn Slough Upper near RR tracks,306ELKERD,Central Coast,"Lead, Total",Insufficient data,8/23/2016,13.4,mg/Kg dw
TID 5 Harding Drain @ Carpenter Road,535STC501,Central Valley,"Lead, Total",Insufficient data,8/17/2016,15.6,mg/Kg dw
Garcia River below Signal Creek,113GAR042,North Coast,"Lead, Total",Insufficient data,9/10/2013,0.043,ug/L
South Fork Kern River@Fay Ranch Road,554SKR010,Central Valley,"Lead, Total",Insufficient data,8/11/2016,11.8,mg/Kg dw
Deep Creek above Warm Springs,628DEPSED,Lahontan,"Lead, Total",Insufficient data,8/10/2016,17.6,mg/Kg dw
Russian River at Crocker Road,114RR5652,North Coast,"Lead, Total",Insufficient data,11/30/2011,0.015,ug/L
San Luis Obispo Ck at Los Osos Valley Road,310SLV,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.19,ug/L
San Antonio Creek - Just upstream of San Antonio Rd bridge crossing,206PET010,San Francisco Bay,"Lead, Total",Insufficient data,1/20/2003,0.094,ug/L
Russian River at Johnson's Beach,114RR1325,North Coast,"Lead, Total",Insufficient data,12/1/2011,0.03,ug/L
Lone Tree Creek at Austin Road,531SJC503,Central Valley,"Lead, Total",Insufficient data,11/20/2002,2.5,ug/L
French Camp Slough at Airport Way,531SJC504,Central Valley,"Lead, Total",Insufficient data,11/19/2002,2.5,ug/L
San Timoteo Wash Random Olsen Site 207,801RB8207,Santa Ana,"Lead, Total",Insufficient data,6/16/2016,0.3,ug/L
Day Creek Random Olsen Site 598,801RB8598,Santa Ana,"Lead, Total",Insufficient data,6/14/2016,0.2,ug/L
San Timoteo Wash Random Olsen Site 258,801STW258,Santa Ana,"Lead, Total",Insufficient data,6/9/2016,1.3,ug/L
City Creek Random Olsen Site 398,801CYC398,Santa Ana,"Lead, Total",Insufficient data,6/9/2016,0.1,ug/L
San Timoteo Wash Random Olsen Site 085,801STW085,Santa Ana,"Lead, Total",Insufficient data,6/8/2016,0.3,ug/L
San Timoteo Canyon Random Olsen Site 567,801RB8567,Santa Ana,"Lead, Total",Insufficient data,6/8/2016,0.2,ug/L
San Jacinto River - Reference Site,802SJCREF,Santa Ana,"Lead, Total",Insufficient data,5/20/2016,14.1,mg/Kg dw
Stevens Creek  205STE050 20m downstream of Fremont Blvd road xing,205STE050,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,18.6,mg/Kg dw
Stevens Creek - 205STE063 downstream of the Blackberry Golf Course and Stevens Creek Blvd.,205STE063,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,13.7,mg/Kg dw
Stevens Creek within McClellan Ranch Preserve and downstream of Mcllenan Rd,205STE066,San Francisco Bay,"Lead, Total",Insufficient data,5/11/2016,12.05,mg/Kg dw
Upriver_2,Upriver_2,Santa Ana,"Lead, Total",Insufficient data,5/4/2016,0.5,ug/L
Santa Rosa Creek at Ferrassi Road,310SRU,Central Coast,"Lead, Total",Insufficient data,9/9/2015,0.015,ug/L
Salton Sea USGS3,728SSGS03,Colorado River,"Lead, Total",Insufficient data,10/3/2002,9.09,mg/Kg dw
Salton Sea USGS9,728SSGS09,Colorado River,"Lead, Total",Insufficient data,5/11/2011,8.05,mg/Kg dw
Salton Sea USGS2,728SSGS02,Colorado River,"Lead, Total",Insufficient data,5/11/2011,11.8,mg/Kg dw
Salton Sea USGS5,728SSGS05,Colorado River,"Lead, Total",Insufficient data,10/3/2002,9.77,mg/Kg dw
Salton Sea USGS7,728SSGS07,Colorado River,"Lead, Total",Insufficient data,5/11/2011,8.21,mg/Kg dw
Prefumo Creek  @ Calle Joaquin,310PRE,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.24,ug/L
Arroyo Grande at Bittle Park,310AGB,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.015,ug/L
San Luis Obispo Creek @ Mission Plaza,310SLM,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.69,ug/L
Stenner Creek at Nipomo Street,310SCN,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.16,ug/L
Arroyo Grande Creek @ Strother Park,310AGS,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.015,ug/L
Arroyo Grande at Fair Oaks Bridge,310AGF,Central Coast,"Lead, Total",Insufficient data,11/19/2015,0.05,ug/L
Carmel River at Esquiline Road,307CMU,Central Coast,"Lead, Total",Insufficient data,9/16/2015,0.07,ug/L
Carmel River @ Nason Rd Community Park,307CMN,Central Coast,"Lead, Total",Insufficient data,9/16/2015,0.86,ug/L
Chorro Creek at Canet Road,310CAN,Central Coast,"Lead, Total",Insufficient data,11/5/2015,0.05,ug/L
Mill Creek @ Mill Creek Picnic Area,308MIL,Central Coast,"Lead, Total",Insufficient data,9/2/2015,0.015,ug/L
Limekiln Creek @ Limekiln State Park,308LIM,Central Coast,"Lead, Total",Insufficient data,9/2/2015,0.015,ug/L
Big Sur River at Peiffer Big Sur State Park USGS gauge,308BSU,Central Coast,"Lead, Total",Insufficient data,9/2/2015,0.015,ug/L
Garrapata Creek at Private Property access (above Highway 1),308GAR,Central Coast,"Lead, Total",Insufficient data,11/3/2015,0.05,ug/L
Pacific Dry Dock channel in front,204PDD001,San Francisco Bay,"Lead, Total",Insufficient data,9/15/2015,66.95,mg/Kg dw
Pacific Dry Dock storm drain,204PDD003,San Francisco Bay,"Lead, Total",Insufficient data,9/15/2015,61.2,mg/Kg dw
Pacific Dry Dock cove,204PDD002,San Francisco Bay,"Lead, Total",Insufficient data,9/15/2015,413,mg/Kg dw
Pacific Dry Dock south of site,204PDD004,San Francisco Bay,"Lead, Total",Insufficient data,9/15/2015,106,mg/Kg dw
Garcia River above Olsen Gulch,113GAR084,North Coast,"Lead, Total",Insufficient data,6/28/2010,0.015,ug/L
Mill Creek Random Olsen Site 272,801MIC272,Santa Ana,"Lead, Total",Insufficient data,7/9/2015,0.05,ug/L
Middle Fork Lytle Creek Random Olsen Site 069,801MLC069,Santa Ana,"Lead, Total",Insufficient data,7/6/2015,0.175,ug/L
Lytle Creek Random Olsen Site 062,801LYC062,Santa Ana,"Lead, Total",Insufficient data,7/1/2015,1.7,ug/L
Middle Fork Lytle Creek Random Olsen Site 057,801MLC057,Santa Ana,"Lead, Total",Insufficient data,7/1/2015,0.05,ug/L
Mill Creek Creek Random Olsen Site 034,801MIC034,Santa Ana,"Lead, Total",Insufficient data,6/25/2015,0.05,ug/L
Morrison Creek above Smith River,103MO0858,North Coast,"Lead, Total",Insufficient data,6/23/2015,9.87,mg/Kg dw
Jenkinson Lake @ Pinecone Campsites 1-30,532ELD001,Central Valley,"Lead, Total",Insufficient data,6/25/2002,2.5,ug/L
Santa Barbara Harbor at Dock F,315SBHF,Central Coast,"Lead, Total",Insufficient data,9/16/2014,67.5,mg/Kg dw
Santa Barbara Harbor Dock O,315SBHO,Central Coast,"Lead, Total",Insufficient data,9/16/2014,17.5,mg/Kg dw
"Depressional Wetland - Point Reyes National Seashore, 1mi north of B Ranch; NT8379",201DW0271,San Francisco Bay,"Lead, Total",Insufficient data,6/23/2014,2.68,mg/Kg dw
"Depressional Wetland - Henry Coe State Park, Mahoney Pond, 50m east of Mahoney Meadows Rd; NT11714",205DW0246,San Francisco Bay,"Lead, Total",Insufficient data,6/17/2014,10.8,mg/Kg dw
"Depressional Wetland - Elk Glen Lake, Golden Gate Park, San Francisco; NT5791",202DW0050,San Francisco Bay,"Lead, Total",Insufficient data,6/16/2014,12.445,mg/Kg dw
"Depressional Wetland - 30m south of Montez Blvd and Lakeview Dr, Napa; NT12238",206DW0244,San Francisco Bay,"Lead, Total",Insufficient data,6/12/2014,16.1,mg/Kg dw
San Jacinto River Random Olsen Site 116,802SJR116,Santa Ana,"Lead, Total",Insufficient data,7/15/2013,2.5,ug/L
"Depressional Wetland - 0.42mi northeast of Dealy Ln and Old Sonoma Rd, Napa; NT11911",206DW0228,San Francisco Bay,"Lead, Total",Insufficient data,6/11/2014,17,mg/Kg dw
"Depressional Wetland - 250m north of Hwy 130, 1.6mi east of Isabel Creek bridge; NT19245",204DW0150,San Francisco Bay,"Lead, Total",Insufficient data,6/10/2014,15.9,mg/Kg dw
"Depressional Wetland - 225m southeast of Acacia Ave and Burndale Rd, Sonoma; NT12688",206DW0239,San Francisco Bay,"Lead, Total",Insufficient data,6/9/2014,12.3,mg/Kg dw
"Depressional Wetland - Point Reyes Nat Seashore, 325m W of Estero Tr, 1.5mi N of Limantour Spit; NT7",201DW0079,San Francisco Bay,"Lead, Total",Insufficient data,6/5/2014,9.92,mg/Kg dw
"Depressional Wetland - OV Process Water Pond 300m S of Oakville Cross Rd and Money Rd, Napa; NT12049",206DW0235,San Francisco Bay,"Lead, Total",Insufficient data,6/4/2014,8.91,mg/Kg dw
"Depressional Wetland - 200m west of Liparita Ave and Goodwells Ave intersection, Angwin; NT12112",206DW0171,San Francisco Bay,"Lead, Total",Insufficient data,5/20/2014,28.3,mg/Kg dw
"Depressional Wetland - 1mi SE of Rancho Laguna Park, 360m east of Brown Ranch Rd, Moraga; NT7995",204DW0039,San Francisco Bay,"Lead, Total",Insufficient data,5/13/2014,10.2,mg/Kg dw
Klamath River at Klamath Glen,105KL0330,North Coast,"Lead, Total",Insufficient data,12/4/2013,0.015,ug/L
"Depressional Wetland - Pt Reyes Nat Seashore, 300m SW of G Ranch on Sir Francis Drake Blvd; NT8155",201DW0143,San Francisco Bay,"Lead, Total",Insufficient data,5/13/2014,5.47,mg/Kg dw
"Depressional Wetland - 60m SE of Ygnacio Valley Rd and Montecito Dr intersection, Concord; NT7768",207DW0167,San Francisco Bay,"Lead, Total",Insufficient data,5/13/2014,16.15,mg/Kg dw
"Depressional Wetland - Point Reyes National Seashore, Pierce Point Rd 700m east of H Ranch; NT7831",201DW0207,San Francisco Bay,"Lead, Total",Insufficient data,5/13/2014,7.67,mg/Kg dw
"Depressional Wetland - 3.25mi east of San Antonio Reservoir, north of Williams Gulch, Sunol; NT19312",204DW0227,San Francisco Bay,"Lead, Total",Insufficient data,5/12/2014,9.41,mg/Kg dw
"Depressional Wetland - 0.8mi west of Chiles Pope Valley Rd, 1.5mi north of Lake Hennessey; NT11988",206DW0123,San Francisco Bay,"Lead, Total",Insufficient data,5/12/2014,10.3,mg/Kg dw
"Depressional Wetland - Ohlone Wilderness, 0.6mi E of Springboard Trail and Ohlone Wld Trail; NT19443",204DW0202,San Francisco Bay,"Lead, Total",Insufficient data,5/12/2014,10.6,mg/Kg dw
"Depressional Wetland - 700m northwest of Buhman Ave and Henry Rd intersection, Napa; NT9286",206DW0180,San Francisco Bay,"Lead, Total",Insufficient data,5/8/2014,13.85,mg/Kg dw
"Depressional Wetland - Joseph Grant Cnty Park, Canada de Pala Trail 400m S of Hotel Trail; NT10730",205DW0142,San Francisco Bay,"Lead, Total",Insufficient data,5/8/2014,12.5,mg/Kg dw
"Depressional Wetland - 1mi west of Hwy 101 and 400m north of San Antonio Rd, Petaluma; NT11907",206DW0016,San Francisco Bay,"Lead, Total",Insufficient data,5/8/2014,5.37,mg/Kg dw
"Depressional Wetland - 0.6mi NW of the fork of Morrison Canyon Rd and Vargas Rd, Fremont; NT11841",205DW0151,San Francisco Bay,"Lead, Total",Insufficient data,5/7/2014,15.4,mg/Kg dw
"Depressional Wetland - Upper Leoma Lake, in gully below Wild Horse Valley Rd, Napa; NT5571",207DW0017,San Francisco Bay,"Lead, Total",Insufficient data,5/7/2014,27.8,mg/Kg dw
"Depressional Wetland - 500m south of Mines Rd at 17776 Mines Rd, Livermore; NT18610",204DW0074,San Francisco Bay,"Lead, Total",Insufficient data,5/7/2014,9.29,mg/Kg dw
"Depressional Wetland - 150m northeast of Sonoma Hwy and Davenport Rd, Glen Ellen; NT7630",206DW0212,San Francisco Bay,"Lead, Total",Insufficient data,5/7/2014,20.167,mg/Kg dw
"Depressional Wetland - 150m south of Napa Golf Course Clubhouse, Napa; NT9552",206DW0100,San Francisco Bay,"Lead, Total",Insufficient data,5/6/2014,35.8,mg/Kg dw
"Depressional Wetland - 550m south of Holsworth Rd and 330m west of Gehricke Rd, Sonoma; NT11679",206DW0132,San Francisco Bay,"Lead, Total",Insufficient data,5/6/2014,18.1,mg/Kg dw
"Depressional Wetland - Pescadero Cnty Park, N of Camp Pompino Rd, E of Sheriff Honor Camp; NT7465",202DW0018,San Francisco Bay,"Lead, Total",Insufficient data,5/6/2014,11.3,mg/Kg dw
"Depressional Wetland - South of Lobitos Creek Rd at 2100 Lobitos Creek Rd, Half Moon Bay; NT6607",202DW0194,San Francisco Bay,"Lead, Total",Insufficient data,5/6/2014,11.85,mg/Kg dw
"Depressional Wetland - Henry Coe State Park, 1mi south of Jackson Rd, east of Tower Trail; NT12561",205DW0011,San Francisco Bay,"Lead, Total",Insufficient data,5/5/2014,9.84,mg/Kg dw
"Depressional Wetland - On private property at 24110 Wine Country Court, Sonoma; NT12480",206DW0068,San Francisco Bay,"Lead, Total",Insufficient data,5/5/2014,7.565,mg/Kg dw
Russian River at School Way,114RRxxxx,North Coast,"Lead, Total",Insufficient data,11/7/2013,6.4,mg/Kg dw
Mark West Creek at River Road,114MW2583,North Coast,"Lead, Total",Insufficient data,11/7/2013,20.8,mg/Kg dw
Bucknell Creek above Eel River,111BN0329,North Coast,"Lead, Total",Insufficient data,11/7/2013,6.85,mg/Kg dw
Trinity River - North Fork at Helena,106NF0015,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.015,ug/L
Trinity River - South Fork near Salyer,106SF0013,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.06,ug/L
Trinity River at Salyer,106TR1974,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.015,ug/L
Klamath River at Weitchpec,105KL2057,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.015,ug/L
Klamath River above Orleans,105KL2814,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.015,ug/L
Trinity River at Weitchpec,106TR0008,North Coast,"Lead, Total",Insufficient data,12/3/2013,0.015,ug/L
South Fork Trinity above Hayfork Creek,106SF3551,North Coast,"Lead, Total",Insufficient data,12/2/2013,0.015,ug/L
Trinity River downstream hatchery near Lewiston,106TR6801,North Coast,"Lead, Total",Insufficient data,12/2/2013,0.015,ug/L
Hayfork Creek above South Fork Trinity River,106HF0019,North Coast,"Lead, Total",Insufficient data,12/2/2013,0.015,ug/L
Shasta River near Edgewood,105SH9274,North Coast,"Lead, Total",Insufficient data,11/20/2013,0.015,ug/L
Shasta River at Hwy 263,105SH1452,North Coast,"Lead, Total",Insufficient data,11/20/2013,0.015,ug/L
